sex,race_eth,age_group,year,population
female,hispanic,55-59,2006,395924.192733443
female,hispanic,55-59,2007,419275.93396831397
female,hispanic,55-59,2008,442782.757066795
female,hispanic,55-59,2009,483955.78443798004
female,hispanic,55-59,2010,755074.071016384
female,hispanic,55-59,2011,268516
female,hispanic,55-59,2012,281088
female,hispanic,55-59,2013,292038
female,hispanic,55-59,2014,302537
female,hispanic,55-59,2015,312784
female,hispanic,55-59,2016,322832
female,hispanic,55-59,2017,334167
female,hispanic,55-59,2018,346344
female,hispanic,55-59,2019,358637
female,hispanic,55-59,2020,351960
female,hispanic,60-64,2000,427762.329951391
female,hispanic,60-64,2001,224480.14558224595
female,hispanic,60-64,2002,232832.76229813002
female,hispanic,60-64,2003,243398.234700408
female,hispanic,60-64,2004,255687.80835813505
female,hispanic,60-64,2005,268954.310937212
female,hispanic,60-64,2006,282453.483998747
female,hispanic,60-64,2007,297967.601953573
female,hispanic,60-64,2008,314544.065771921
female,hispanic,60-64,2009,351405.424328509
female,hispanic,60-64,2010,550885.917771267
female,hispanic,60-64,2011,196050
female,hispanic,60-64,2012,205603
female,hispanic,60-64,2013,213513
female,hispanic,60-64,2014,221586
female,hispanic,60-64,2015,230945
female,hispanic,60-64,2016,241773
female,hispanic,60-64,2017,254788
female,hispanic,60-64,2018,269130
female,hispanic,60-64,2019,283244
female,hispanic,60-64,2020,279653
female,hispanic,65-69,2000,355117.30310052104
female,hispanic,65-69,2001,183806.91516144597
female,hispanic,65-69,2002,188868.33945279
female,hispanic,65-69,2003,195281.41356606697
female,hispanic,65-69,2004,202237.313285483
female,hispanic,65-69,2005,209328.145483719
female,hispanic,65-69,2006,216578.28783101705
female,hispanic,65-69,2007,224147.78851546498
female,hispanic,65-69,2008,232715.840689864
female,hispanic,65-69,2009,253047.937276209
female,hispanic,65-69,2010,393500.624711732
female,hispanic,65-69,2011,138221
female,hispanic,65-69,2012,144211
female,hispanic,65-69,2013,149632
female,hispanic,65-69,2014,155778
female,hispanic,65-69,2015,162973
female,hispanic,65-69,2016,171085
female,hispanic,65-69,2017,180873
female,hispanic,65-69,2018,192047
female,hispanic,65-69,2019,204417
female,hispanic,65-69,2020,202070
female,hispanic,70-74,2000,286906.358486298
female,hispanic,70-74,2001,152377.67694158698
female,hispanic,70-74,2002,157664.64304388702
female,hispanic,70-74,2003,162150.30341402598
female,hispanic,70-74,2004,165809.776979174
female,hispanic,70-74,2005,168962.096192854
female,hispanic,70-74,2006,172384.441632201
female,hispanic,70-74,2007,176428.200931125
female,hispanic,70-74,2008,181613.590266939
female,hispanic,70-74,2009,193183.95612903603
female,hispanic,70-74,2010,297926.914643355
female,hispanic,70-74,2011,102264
female,hispanic,70-74,2012,104760
female,hispanic,70-74,2013,106597
female,hispanic,70-74,2014,109037
female,hispanic,70-74,2015,112471
female,hispanic,70-74,2016,116883
female,hispanic,70-74,2017,123113
female,hispanic,70-74,2018,131615
female,hispanic,70-74,2019,142189
female,hispanic,70-74,2020,140113
female,hispanic,75-79,2000,192917.599608389
female,hispanic,75-79,2001,104285.335047692
female,hispanic,75-79,2002,110272.077709011
female,hispanic,75-79,2003,116160.621094489
female,hispanic,75-79,2004,122204.25249765001
female,hispanic,75-79,2005,127596.62056750202
female,hispanic,75-79,2006,133342.518287721
female,hispanic,75-79,2007,138762.116358981
female,hispanic,75-79,2008,143704.622872592
female,hispanic,75-79,2009,150140.65165295702
female,hispanic,75-79,2010,228835.866006309
female,hispanic,75-79,2011,77534
female,hispanic,75-79,2012,78612
female,hispanic,75-79,2013,79241
female,hispanic,75-79,2014,80233
female,hispanic,75-79,2015,81646
female,hispanic,75-79,2016,83402
female,hispanic,75-79,2017,86127
female,hispanic,75-79,2018,90213
female,hispanic,75-79,2019,96194
female,hispanic,75-79,2020,93326
female,hispanic,80-84,2000,104648.18978985799
female,hispanic,80-84,2001,57301.114476115996
female,hispanic,80-84,2002,62259.923385868
female,hispanic,80-84,2003,67409.89026306602
female,hispanic,80-84,2004,72105.121209075
female,hispanic,80-84,2005,77015.24407153
female,hispanic,80-84,2006,81776.640595919
female,hispanic,80-84,2007,86974.824418634
female,hispanic,80-84,2008,92175.858112926
female,hispanic,80-84,2009,102104.131067378
female,hispanic,80-84,2010,158470.830247877
female,hispanic,80-84,2011,55548
female,hispanic,80-84,2012,57160
female,hispanic,80-84,2013,57894
female,hispanic,80-84,2014,58218
female,hispanic,80-84,2015,58485
female,hispanic,80-84,2016,58951
female,hispanic,80-84,2017,60141
female,hispanic,80-84,2018,62276
female,hispanic,80-84,2019,65311
female,hispanic,80-84,2020,62787
female,hispanic,85-89,2000,57441.249791618
female,hispanic,85-89,2001,30159.167009328
female,hispanic,85-89,2002,31222.522136484997
female,hispanic,85-89,2003,32423.165882099005
female,hispanic,85-89,2004,33857.562654794005
female,hispanic,85-89,2005,35231.967611945
female,hispanic,85-89,2006,37641.536095434996
female,hispanic,85-89,2007,40809.003426532
female,hispanic,85-89,2008,44086.71315282
female,hispanic,85-89,2009,51723.315596033004
female,hispanic,85-89,2010,81929.983051573
female,hispanic,85-89,2011,29508
female,hispanic,85-89,2012,30947
female,hispanic,85-89,2013,32100
female,hispanic,85-89,2014,33223
female,hispanic,85-89,2015,34470
female,hispanic,85-89,2016,35801
female,hispanic,85-89,2017,37348
female,hispanic,85-89,2018,38890
female,hispanic,85-89,2019,40167
female,hispanic,85-89,2020,40096
female,hispanic,90+,2000,28443.389768514004
female,hispanic,90+,2001,13706.979021658002
