"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"40-44 years","40-44","2005","2005","Female","F",386,430052,89.8
,"40-44 years","40-44","2005","2005","Male","M",751,448313,167.5
,"40-44 years","40-44","2006","2006","Female","F",398,440260,90.4
,"40-44 years","40-44","2006","2006","Male","M",680,461273,147.4
,"40-44 years","40-44","2007","2007","Female","F",342,448349,76.3
,"40-44 years","40-44","2007","2007","Male","M",652,469061,139.0
,"40-44 years","40-44","2008","2008","Female","F",380,459033,82.8
,"40-44 years","40-44","2008","2008","Male","M",612,482038,127.0
,"40-44 years","40-44","2009","2009","Female","F",419,467482,89.6
,"40-44 years","40-44","2009","2009","Male","M",632,491819,128.5
,"40-44 years","40-44","2010","2010","Female","F",362,477903,75.7
,"40-44 years","40-44","2010","2010","Male","M",583,502522,116.0
,"40-44 years","40-44","2011","2011","Female","F",338,494429,68.4
,"40-44 years","40-44","2011","2011","Male","M",587,516297,113.7
,"40-44 years","40-44","2012","2012","Female","F",360,501073,71.8
,"40-44 years","40-44","2012","2012","Male","M",598,520679,114.9
,"40-44 years","40-44","2013","2013","Female","F",389,507381,76.7
,"40-44 years","40-44","2013","2013","Male","M",606,521146,116.3
,"40-44 years","40-44","2014","2014","Female","F",414,520691,79.5
,"40-44 years","40-44","2014","2014","Male","M",622,527532,117.9
,"40-44 years","40-44","2015","2015","Female","F",430,524194,82.0
,"40-44 years","40-44","2015","2015","Male","M",609,527322,115.5
,"40-44 years","40-44","2016","2016","Female","F",399,518323,77.0
,"40-44 years","40-44","2016","2016","Male","M",655,521745,125.5
,"40-44 years","40-44","2017","2017","Female","F",409,520345,78.6
,"40-44 years","40-44","2017","2017","Male","M",620,525617,118.0
,"45-49 years","45-49","1999","1999","Female","F",387,254171,152.3
,"45-49 years","45-49","1999","1999","Male","M",720,250940,286.9
,"45-49 years","45-49","2000","2000","Female","F",410,268369,152.8
,"45-49 years","45-49","2000","2000","Male","M",792,264977,298.9
,"45-49 years","45-49","2001","2001","Female","F",479,288248,166.2
,"45-49 years","45-49","2001","2001","Male","M",841,284833,295.3
,"45-49 years","45-49","2002","2002","Female","F",480,305864,156.9
,"45-49 years","45-49","2002","2002","Male","M",819,302942,270.3
,"45-49 years","45-49","2003","2003","Female","F",500,322946,154.8
,"45-49 years","45-49","2003","2003","Male","M",937,321213,291.7
,"45-49 years","45-49","2004","2004","Female","F",518,338468,153.0
,"45-49 years","45-49","2004","2004","Male","M",912,338080,269.8
,"45-49 years","45-49","2005","2005","Female","F",549,355083,154.6
,"45-49 years","45-49","2005","2005","Male","M",941,356237,264.1
,"45-49 years","45-49","2006","2006","Female","F",556,368570,150.9
,"45-49 years","45-49","2006","2006","Male","M",968,371488,260.6
,"45-49 years","45-49","2007","2007","Female","F",557,382146,145.8
,"45-49 years","45-49","2007","2007","Male","M",1001,387375,258.4
,"45-49 years","45-49","2008","2008","Female","F",573,396559,144.5
,"45-49 years","45-49","2008","2008","Male","M",1019,401500,253.8
,"45-49 years","45-49","2009","2009","Female","F",600,412661,145.4
,"45-49 years","45-49","2009","2009","Male","M",987,418647,235.8
,"45-49 years","45-49","2010","2010","Female","F",543,422011,128.7
,"45-49 years","45-49","2010","2010","Male","M",932,428489,217.5
,"45-49 years","45-49","2011","2011","Female","F",551,433224,127.2
,"45-49 years","45-49","2011","2011","Male","M",1026,445762,230.2
,"45-49 years","45-49","2012","2012","Female","F",581,440584,131.9
,"45-49 years","45-49","2012","2012","Male","M",916,454782,201.4
,"45-49 years","45-49","2013","2013","Female","F",538,449569,119.7
,"45-49 years","45-49","2013","2013","Male","M",982,467834,209.9
,"45-49 years","45-49","2014","2014","Female","F",583,464720,125.5
,"45-49 years","45-49","2014","2014","Male","M",952,483295,197.0
,"45-49 years","45-49","2015","2015","Female","F",577,477366,120.9
,"45-49 years","45-49","2015","2015","Male","M",1008,495096,203.6
,"45-49 years","45-49","2016","2016","Female","F",621,484293,128.2
,"45-49 years","45-49","2016","2016","Male","M",974,496759,196.1
,"45-49 years","45-49","2017","2017","Female","F",601,492268,122.1
,"45-49 years","45-49","2017","2017","Male","M",967,501648,192.8
,"50-54 years","50-54","1999","1999","Female","F",478,189870,251.8
,"50-54 years","50-54","1999","1999","Male","M",743,178810,415.5
,"50-54 years","50-54","2000","2000","Female","F",504,200477,251.4
,"50-54 years","50-54","2000","2000","Male","M",772,189131,408.2
,"50-54 years","50-54","2001","2001","Female","F",596,217913,273.5
,"50-54 years","50-54","2001","2001","Male","M",947,207522,456.3
,"50-54 years","50-54","2002","2002","Female","F",550,230208,238.9
,"50-54 years","50-54","2002","2002","Male","M",960,219725,436.9
,"50-54 years","50-54","2003","2003","Female","F",618,243997,253.3
,"50-54 years","50-54","2003","2003","Male","M",1087,233136,466.3
,"50-54 years","50-54","2004","2004","Female","F",594,259241,229.1
