"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"45-49 years","45-49","2010","2010","Female","F","White","2106-3",13,614446,Unreliable
,"45-49 years","45-49","2010","2010","Male","M","Black or African American","2054-5",23,91431,25.2
,"45-49 years","45-49","2010","2010","Male","M","White","2106-3",23,631405,3.6
,"45-49 years","45-49","2011","2011","Female","F","White","2106-3",14,580542,Unreliable
,"45-49 years","45-49","2011","2011","Male","M","Black or African American","2054-5",26,88905,29.2
,"45-49 years","45-49","2011","2011","Male","M","White","2106-3",26,597500,4.4
,"45-49 years","45-49","2012","2012","Female","F","White","2106-3",15,555402,Unreliable
,"45-49 years","45-49","2012","2012","Male","M","Black or African American","2054-5",28,86496,32.4
,"45-49 years","45-49","2012","2012","Male","M","White","2106-3",30,572760,5.2
,"45-49 years","45-49","2013","2013","Male","M","Black or African American","2054-5",15,83742,Unreliable
,"45-49 years","45-49","2013","2013","Male","M","White","2106-3",29,548494,5.3
,"45-49 years","45-49","2014","2014","Male","M","Black or African American","2054-5",25,82019,30.5
,"45-49 years","45-49","2014","2014","Male","M","White","2106-3",37,530567,7.0
,"45-49 years","45-49","2015","2015","Male","M","Black or African American","2054-5",39,81293,48.0
,"45-49 years","45-49","2015","2015","Male","M","White","2106-3",37,522968,7.1
,"45-49 years","45-49","2016","2016","Female","F","White","2106-3",12,499907,Unreliable
,"45-49 years","45-49","2016","2016","Male","M","Black or African American","2054-5",37,80074,46.2
,"45-49 years","45-49","2016","2016","Male","M","White","2106-3",24,518262,4.6
,"45-49 years","45-49","2017","2017","Female","F","White","2106-3",10,485172,Unreliable
,"45-49 years","45-49","2017","2017","Male","M","Black or African American","2054-5",34,78894,43.1
,"45-49 years","45-49","2017","2017","Male","M","White","2106-3",39,505471,7.7
,"50-54 years","50-54","1999","1999","Male","M","Black or African American","2054-5",10,55605,Unreliable
,"50-54 years","50-54","1999","1999","Male","M","White","2106-3",23,592783,3.9
,"50-54 years","50-54","2000","2000","Female","F","White","2106-3",13,613093,Unreliable
,"50-54 years","50-54","2000","2000","Male","M","Black or African American","2054-5",14,58819,Unreliable
,"50-54 years","50-54","2000","2000","Male","M","White","2106-3",27,610848,4.4
,"50-54 years","50-54","2001","2001","Female","F","White","2106-3",10,639455,Unreliable
,"50-54 years","50-54","2001","2001","Male","M","Black or African American","2054-5",11,63814,Unreliable
,"50-54 years","50-54","2001","2001","Male","M","White","2106-3",21,636779,3.3
,"50-54 years","50-54","2002","2002","Male","M","Black or African American","2054-5",18,65730,Unreliable
,"50-54 years","50-54","2002","2002","Male","M","White","2106-3",26,623243,4.2
,"50-54 years","50-54","2003","2003","Female","F","White","2106-3",11,629771,Unreliable
,"50-54 years","50-54","2003","2003","Male","M","Black or African American","2054-5",15,67511,Unreliable
,"50-54 years","50-54","2003","2003","Male","M","White","2106-3",30,626545,4.8
,"50-54 years","50-54","2004","2004","Male","M","Black or African American","2054-5",22,69852,31.5
,"50-54 years","50-54","2004","2004","Male","M","White","2106-3",33,632661,5.2
,"50-54 years","50-54","2005","2005","Female","F","White","2106-3",13,636961,Unreliable
,"50-54 years","50-54","2005","2005","Male","M","Black or African American","2054-5",23,72114,31.9
,"50-54 years","50-54","2005","2005","Male","M","White","2106-3",26,636838,4.1
,"50-54 years","50-54","2006","2006","Female","F","White","2106-3",16,638702,Unreliable
,"50-54 years","50-54","2006","2006","Male","M","Black or African American","2054-5",23,74695,30.8
,"50-54 years","50-54","2006","2006","Male","M","White","2106-3",30,641397,4.7
,"50-54 years","50-54","2007","2007","Male","M","Black or African American","2054-5",18,77931,Unreliable
,"50-54 years","50-54","2007","2007","Male","M","White","2106-3",25,649439,3.8
,"50-54 years","50-54","2008","2008","Male","M","Black or African American","2054-5",19,81346,Unreliable
,"50-54 years","50-54","2008","2008","Male","M","White","2106-3",23,655301,3.5
,"50-54 years","50-54","2009","2009","Male","M","Black or African American","2054-5",24,83936,28.6
,"50-54 years","50-54","2009","2009","Male","M","White","2106-3",15,654995,Unreliable
,"50-54 years","50-54","2010","2010","Male","M","Black or African American","2054-5",16,86476,Unreliable
