"Notes","Year","Year Code","Race","Race Code","Sex","Sex Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"2002","2002","Black or African American","2054-5","Female","F","75-79 years","75-79",1120,22582,4959.7
,"2002","2002","Black or African American","2054-5","Female","F","80-84 years","80-84",1078,15498,6955.7
,"2002","2002","Black or African American","2054-5","Female","F","85-89 years","85-89",1001,Not Applicable,Not Applicable
,"2002","2002","Black or African American","2054-5","Female","F","90-94 years","90-94",657,Not Applicable,Not Applicable
,"2002","2002","Black or African American","2054-5","Female","F","95-99 years","95-99",290,Not Applicable,Not Applicable
,"2002","2002","Black or African American","2054-5","Female","F","100+ years","100+",87,Not Applicable,Not Applicable
,"2002","2002","Black or African American","2054-5","Female","F","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"2002","2002","Black or African American","2054-5","Male","M","< 1 year","1",220,16838,1306.6
,"2002","2002","Black or African American","2054-5","Male","M","1-4 years","1-4",35,70177,49.9
,"2002","2002","Black or African American","2054-5","Male","M","5-9 years","5-9",18,101825,Unreliable
,"2002","2002","Black or African American","2054-5","Male","M","10-14 years","10-14",48,113069,42.5
,"2002","2002","Black or African American","2054-5","Male","M","15-19 years","15-19",127,98099,129.5
,"2002","2002","Black or African American","2054-5","Male","M","20-24 years","20-24",263,87604,300.2
,"2002","2002","Black or African American","2054-5","Male","M","25-29 years","25-29",228,75667,301.3
,"2002","2002","Black or African American","2054-5","Male","M","30-34 years","30-34",257,88080,291.8
,"2002","2002","Black or African American","2054-5","Male","M","35-39 years","35-39",357,94772,376.7
,"2002","2002","Black or African American","2054-5","Male","M","40-44 years","40-44",439,96906,453.0
,"2002","2002","Black or African American","2054-5","Male","M","45-49 years","45-49",581,80784,719.2
,"2002","2002","Black or African American","2054-5","Male","M","50-54 years","50-54",750,65730,1141.0
,"2002","2002","Black or African American","2054-5","Male","M","55-59 years","55-59",756,46555,1623.9
,"2002","2002","Black or African American","2054-5","Male","M","60-64 years ","60-64",863,36640,2355.3
,"2002","2002","Black or African American","2054-5","Male","M","65-69 years","65-69",903,29657,3044.8
,"2002","2002","Black or African American","2054-5","Male","M","70-74 years","70-74",950,20716,4585.8
