"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"30-34 years","30-34","2010","2010","Female","F","Black or African American","2054-5",13,76589,Unreliable
,"30-34 years","30-34","2010","2010","Female","F","White","2106-3",66,438147,15.1
,"30-34 years","30-34","2010","2010","Male","M","Black or African American","2054-5",22,77616,28.3
,"30-34 years","30-34","2010","2010","Male","M","White","2106-3",142,467414,30.4
,"30-34 years","30-34","2011","2011","Female","F","Black or African American","2054-5",12,78093,Unreliable
,"30-34 years","30-34","2011","2011","Female","F","White","2106-3",57,451385,12.6
,"30-34 years","30-34","2011","2011","Male","M","Black or African American","2054-5",17,80027,Unreliable
,"30-34 years","30-34","2011","2011","Male","M","White","2106-3",173,482801,35.8
,"30-34 years","30-34","2012","2012","Female","F","Black or African American","2054-5",12,79385,Unreliable
,"30-34 years","30-34","2012","2012","Female","F","White","2106-3",73,462737,15.8
,"30-34 years","30-34","2012","2012","Male","M","Black or African American","2054-5",18,81830,Unreliable
,"30-34 years","30-34","2012","2012","Male","M","White","2106-3",189,495771,38.1
,"30-34 years","30-34","2013","2013","Female","F","Black or African American","2054-5",13,80272,Unreliable
,"30-34 years","30-34","2013","2013","Female","F","White","2106-3",55,473310,11.6
,"30-34 years","30-34","2013","2013","Male","M","Black or African American","2054-5",23,83336,27.6
,"30-34 years","30-34","2013","2013","Male","M","White","2106-3",227,509163,44.6
,"30-34 years","30-34","2014","2014","Female","F","Black or African American","2054-5",11,81388,Unreliable
,"30-34 years","30-34","2014","2014","Female","F","White","2106-3",61,481205,12.7
,"30-34 years","30-34","2014","2014","Male","M","Black or African American","2054-5",22,85358,25.8
,"30-34 years","30-34","2014","2014","Male","M","White","2106-3",190,517299,36.7
,"30-34 years","30-34","2015","2015","Female","F","Black or African American","2054-5",10,82297,Unreliable
,"30-34 years","30-34","2015","2015","Female","F","White","2106-3",81,485234,16.7
,"30-34 years","30-34","2015","2015","Male","M","Black or African American","2054-5",27,87039,31.0
,"30-34 years","30-34","2015","2015","Male","M","White","2106-3",201,522082,38.5
,"30-34 years","30-34","2016","2016","Female","F","Black or African American","2054-5",15,83489,Unreliable
,"30-34 years","30-34","2016","2016","Female","F","White","2106-3",79,486879,16.2
,"30-34 years","30-34","2016","2016","Male","M","Black or African American","2054-5",31,88126,35.2
,"30-34 years","30-34","2016","2016","Male","M","White","2106-3",227,525747,43.2
,"30-34 years","30-34","2017","2017","Female","F","Black or African American","2054-5",11,85160,Unreliable
,"30-34 years","30-34","2017","2017","Female","F","White","2106-3",67,489530,13.7
,"30-34 years","30-34","2017","2017","Male","M","Black or African American","2054-5",24,91411,26.3
,"30-34 years","30-34","2017","2017","Male","M","White","2106-3",249,530742,46.9
,"35-39 years","35-39","1999","1999","Female","F","Black or African American","2054-5",18,103185,Unreliable
,"35-39 years","35-39","1999","1999","Female","F","White","2106-3",93,692340,13.4
,"35-39 years","35-39","1999","1999","Male","M","Black or African American","2054-5",26,101878,25.5
,"35-39 years","35-39","1999","1999","Male","M","White","2106-3",242,721168,33.6
,"35-39 years","35-39","2000","2000","Female","F","Black or African American","2054-5",11,102154,Unreliable
,"35-39 years","35-39","2000","2000","Female","F","White","2106-3",54,673816,8.0
,"35-39 years","35-39","2000","2000","Male","M","Black or African American","2054-5",16,100788,Unreliable
,"35-39 years","35-39","2000","2000","Male","M","White","2106-3",194,700696,27.7
,"35-39 years","35-39","2001","2001","Female","F","Black or African American","2054-5",12,99414,Unreliable
,"35-39 years","35-39","2001","2001","Female","F","White","2106-3",46,639166,7.2
,"35-39 years","35-39","2001","2001","Male","M","Black or African American","2054-5",22,98133,22.4
,"35-39 years","35-39","2001","2001","Male","M","White","2106-3",120,668054,18.0
,"35-39 years","35-39","2002","2002","Female","F","Black or African American","2054-5",16,96218,Unreliable
,"35-39 years","35-39","2002","2002","Female","F","White","2106-3",98,608907,16.1
,"35-39 years","35-39","2002","2002","Male","M","Black or African American","2054-5",45,94772,47.5
,"35-39 years","35-39","2002","2002","Male","M","White","2106-3",197,636915,30.9
,"35-39 years","35-39","2003","2003","Female","F","Black or African American","2054-5",13,93002,Unreliable
,"35-39 years","35-39","2003","2003","Female","F","White","2106-3",105,581368,18.1
,"35-39 years","35-39","2003","2003","Male","M","Black or African American","2054-5",19,91686,Unreliable
,"35-39 years","35-39","2003","2003","Male","M","White","2106-3",204,607925,33.6
,"35-39 years","35-39","2004","2004","Female","F","Black or African American","2054-5",16,89832,Unreliable
,"35-39 years","35-39","2004","2004","Female","F","White","2106-3",99,557000,17.8
,"35-39 years","35-39","2004","2004","Male","M","Black or African American","2054-5",29,88565,32.7
,"35-39 years","35-39","2004","2004","Male","M","White","2106-3",186,583340,31.9
,"35-39 years","35-39","2005","2005","Female","F","Black or African American","2054-5",20,88093,22.7
,"35-39 years","35-39","2005","2005","Female","F","White","2106-3",74,541817,13.7
,"35-39 years","35-39","2005","2005","Male","M","Black or African American","2054-5",31,86884,35.7
,"35-39 years","35-39","2005","2005","Male","M","White","2106-3",161,568489,28.3
,"35-39 years","35-39","2006","2006","Female","F","Black or African American","2054-5",19,86782,Unreliable
,"35-39 years","35-39","2006","2006","Female","F","White","2106-3",77,531702,14.5
,"35-39 years","35-39","2006","2006","Male","M","Black or African American","2054-5",33,85452,38.6
,"35-39 years","35-39","2006","2006","Male","M","White","2106-3",207,557541,37.1
,"35-39 years","35-39","2007","2007","Female","F","Black or African American","2054-5",17,84288,Unreliable
,"35-39 years","35-39","2007","2007","Female","F","White","2106-3",87,512533,17.0
,"35-39 years","35-39","2007","2007","Male","M","Black or African American","2054-5",36,83467,43.1
,"35-39 years","35-39","2007","2007","Male","M","White","2106-3",206,539150,38.2
,"35-39 years","35-39","2008","2008","Female","F","Black or African American","2054-5",15,81678,Unreliable
,"35-39 years","35-39","2008","2008","Female","F","White","2106-3",88,491896,17.9
,"35-39 years","35-39","2008","2008","Male","M","Black or African American","2054-5",23,81224,28.3
,"35-39 years","35-39","2008","2008","Male","M","White","2106-3",182,517603,35.2
,"35-39 years","35-39","2009","2009","Female","F","Black or African American","2054-5",15,79094,Unreliable
,"35-39 years","35-39","2009","2009","Female","F","White","2106-3",84,467490,18.0
,"35-39 years","35-39","2009","2009","Male","M","Black or African American","2054-5",22,78762,27.9
,"35-39 years","35-39","2009","2009","Male","M","White","2106-3",173,494733,35.0
,"35-39 years","35-39","2010","2010","Female","F","White","2106-3",88,447172,19.7
