"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Year","Year Code","Sex","Sex Code","Race","Race Code",Deaths,Population,Crude Rate
,"30-34 years","30-34","2017","2017","Female","F","White","2106-3",34,489530,6.9
,"30-34 years","30-34","2017","2017","Male","M","Black or African American","2054-5",21,91411,23.0
,"30-34 years","30-34","2017","2017","Male","M","White","2106-3",131,530742,24.7
,"35-39 years","35-39","1999","1999","Female","F","White","2106-3",56,692340,8.1
,"35-39 years","35-39","1999","1999","Male","M","Black or African American","2054-5",17,101878,Unreliable
,"35-39 years","35-39","1999","1999","Male","M","White","2106-3",175,721168,24.3
,"35-39 years","35-39","2000","2000","Female","F","White","2106-3",44,673816,6.5
,"35-39 years","35-39","2000","2000","Male","M","Black or African American","2054-5",14,100788,Unreliable
,"35-39 years","35-39","2000","2000","Male","M","White","2106-3",152,700696,21.7
,"35-39 years","35-39","2001","2001","Female","F","White","2106-3",25,639166,3.9
,"35-39 years","35-39","2001","2001","Male","M","Black or African American","2054-5",19,98133,Unreliable
,"35-39 years","35-39","2001","2001","Male","M","White","2106-3",150,668054,22.5
,"35-39 years","35-39","2002","2002","Female","F","White","2106-3",42,608907,6.9
,"35-39 years","35-39","2002","2002","Male","M","Black or African American","2054-5",15,94772,Unreliable
,"35-39 years","35-39","2002","2002","Male","M","White","2106-3",140,636915,22.0
,"35-39 years","35-39","2003","2003","Female","F","White","2106-3",54,581368,9.3
,"35-39 years","35-39","2003","2003","Male","M","Black or African American","2054-5",11,91686,Unreliable
,"35-39 years","35-39","2003","2003","Male","M","White","2106-3",158,607925,26.0
,"35-39 years","35-39","2004","2004","Female","F","White","2106-3",41,557000,7.4
,"35-39 years","35-39","2004","2004","Male","M","Black or African American","2054-5",10,88565,Unreliable
,"35-39 years","35-39","2004","2004","Male","M","White","2106-3",134,583340,23.0
,"35-39 years","35-39","2005","2005","Female","F","White","2106-3",45,541817,8.3
,"35-39 years","35-39","2005","2005","Male","M","Black or African American","2054-5",12,86884,Unreliable
,"35-39 years","35-39","2005","2005","Male","M","White","2106-3",147,568489,25.9
,"35-39 years","35-39","2006","2006","Female","F","White","2106-3",49,531702,9.2
,"35-39 years","35-39","2006","2006","Male","M","Black or African American","2054-5",12,85452,Unreliable
,"35-39 years","35-39","2006","2006","Male","M","White","2106-3",147,557541,26.4
,"35-39 years","35-39","2007","2007","Female","F","White","2106-3",37,512533,7.2
,"35-39 years","35-39","2007","2007","Male","M","Black or African American","2054-5",15,83467,Unreliable
,"35-39 years","35-39","2007","2007","Male","M","White","2106-3",157,539150,29.1
,"35-39 years","35-39","2008","2008","Female","F","White","2106-3",38,491896,7.7
,"35-39 years","35-39","2008","2008","Male","M","Black or African American","2054-5",11,81224,Unreliable
,"35-39 years","35-39","2008","2008","Male","M","White","2106-3",146,517603,28.2
,"35-39 years","35-39","2009","2009","Female","F","White","2106-3",49,467490,10.5
,"35-39 years","35-39","2009","2009","Male","M","Black or African American","2054-5",11,78762,Unreliable
,"35-39 years","35-39","2009","2009","Male","M","White","2106-3",120,494733,24.3
,"35-39 years","35-39","2010","2010","Female","F","White","2106-3",54,447172,12.1
,"35-39 years","35-39","2010","2010","Male","M","White","2106-3",134,474176,28.3
,"35-39 years","35-39","2011","2011","Female","F","White","2106-3",36,421979,8.5
,"35-39 years","35-39","2011","2011","Male","M","Black or African American","2054-5",10,72830,Unreliable
